Date,Description,Money In (£),Money Out (£)
01/06/2026,SALARY - NORTHWIND LTD,3200.00,
02/06/2026,TESCO STORES 3021,,54.10
03/06/2026,TFL TRAVEL,,32.50
05/06/2026,BRITISH GAS,,68.00
08/06/2026,PRET A MANGER,,7.85
12/06/2026,COUNCIL TAX,,145.00
15/06/2026,SAINSBURYS S/MKT,,48.62
20/06/2026,BOOTS 1105,,12.40
24/06/2026,DELIVEROO,,24.90
01/07/2026,SALARY - NORTHWIND LTD,3200.00,
02/07/2026,TESCO STORES 3021,,61.35
06/07/2026,EDF ENERGY,,72.00
09/07/2026,TFL TRAVEL,,29.10
14/07/2026,COSTA COFFEE,,5.60
18/07/2026,PRIMARK OXFORD ST,,42.00
22/07/2026,NATIONAL RAIL,,38.50
28/07/2026,COUNCIL TAX,,145.00
01/08/2026,SALARY - NORTHWIND LTD,3200.00,
03/08/2026,TESCO STORES 3021,,57.20
