Date,Description,Amount
06/01/2026,ACME CORP PAYROLL DIRECT DEPOSIT,5400.00
06/01/2026,RENT PAYMENT - OAKWOOD APARTMENTS,-1850.00
06/02/2026,CITY POWER ELECTRIC BILL,-112.40
06/03/2026,WHOLE FOODS MARKET #1042,-136.75
06/05/2026,NETFLIX.COM,-15.49
06/07/2026,STARBUCKS STORE 8123,-6.80
06/08/2026,SHELL GAS STATION,-48.20
06/10/2026,GEICO INSURANCE PREMIUM,-128.00
06/12/2026,TRADER JOES #552,-84.31
06/14/2026,UBER TRIP,-18.90
06/15/2026,ONLINE TRANSFER TO SAVINGS,-800.00
06/20/2026,ATM CASH WITHDRAWAL,-100.00
06/25/2026,COMCAST INTERNET,-79.99
06/28/2026,CVS PHARMACY #2210,-23.15
06/30/2026,INTEREST PAID,4.12
07/01/2026,ACME CORP PAYROLL DIRECT DEPOSIT,5400.00
07/01/2026,RENT PAYMENT - OAKWOOD APARTMENTS,-1850.00
07/02/2026,CITY POWER ELECTRIC BILL,-98.60
07/03/2026,WHOLE FOODS MARKET #1042,-152.20
07/05/2026,NETFLIX.COM,-15.49
07/06/2026,SPOTIFY USA,-11.99
07/08/2026,SHELL GAS STATION,-52.75
07/10/2026,GEICO INSURANCE PREMIUM,-128.00
07/12/2026,KROGER #318,-91.44
07/13/2026,MCDONALDS #4471,-12.35
07/15/2026,ONLINE TRANSFER TO SAVINGS,-800.00
07/18/2026,UBER TRIP,-22.40
07/22/2026,DELTA AIRLINE TICKETS,-486.00
07/25/2026,COMCAST INTERNET,-79.99
07/28/2026,CVS PHARMACY #2210,-18.60
07/31/2026,INTEREST PAID,4.05
08/01/2026,ACME CORP PAYROLL DIRECT DEPOSIT,5400.00
08/01/2026,RENT PAYMENT - OAKWOOD APARTMENTS,-1850.00
08/03/2026,WHOLE FOODS MARKET #1042,-128.90
08/05/2026,NETFLIX.COM,-15.49
08/06/2026,STARBUCKS STORE 8123,-7.25
08/07/2026,SHELL GAS STATION,-49.10
